name,description,price,category
Dove Soap,"Gentle moisturizing beauty bar for all skin types",45,Personal Care
Surf Excel Detergent,"Powerful stain remover detergent powder",110,Home Essentials
Kellogg's Corn Flakes,"Healthy breakfast cereal rich in iron and vitamins",165,Food
iPhone 14,"Apple smartphone with A15 chip and dual camera",79999,Electronics
Samsung 32\" TV,"HD ready LED smart television with built-in apps",15999,Electronics
Godrej Hair Dye,"Natural black hair color with aloe vera",90,Personal Care
Maggi Noodles,"Instant 2-minute noodles with masala flavor",15,Food
Harpic Toilet Cleaner,"Disinfectant liquid for toilet bowl cleaning",85,Cleaning
Colgate Toothpaste,"Strong teeth formula with cavity protection",55,Personal Care
Ariel Matic Liquid,"Liquid detergent for top load washing machines",220,Home Essentials
Real Mixed Fruit Juice,"Fruit juice with no added preservatives",105,Food
Mi Smart Band 5,"Fitness tracker with heart rate monitor",1999,Electronics
Tide Detergent Powder,"Economical washing powder for bright clothes",95,Cleaning
Nivea Body Lotion,"Long-lasting moisturizing lotion for dry skin",160,Personal Care
Parle-G Biscuits,"Classic glucose biscuits with milk goodness",10,Food
LG Refrigerator,"Double door fridge with inverter compressor",28990,Electronics
Lizol Floor Cleaner,"Cleans 99.9% germs and gives citrus fragrance",99,Cleaning
Amul Butter,"Salted dairy butter for cooking and spreading",55,Food
Dettol Handwash,"Antibacterial handwash with moisturizing effect",85,Personal Care
Sony Headphones,"Wireless over-ear headphones with noise cancellation",3499,Electronics
Parker Pen,"Premium ballpoint pen with smooth ink flow",250,Stationery
Haldiram Bhujia,"Spicy Indian snack made from gram flour",65,Food
Acer Laptop,"15.6\" screen with Intel i5 and SSD storage",45990,Electronics
Lux Body Wash,"Floral-scented silky body wash for smooth skin",125,Personal Care
Clean Mate Phenyl,"Floor disinfectant for all types of surfaces",60,Cleaning
Patanjali Ghee,"Pure cow ghee ideal for cooking",599,Food
Campus Shoes,"Casual lace-up shoes for men",1099,Fashion
Ray-Ban Sunglasses,"Classic aviator unisex sunglasses",6990,Fashion
Philips Hair Dryer,"Compact hair dryer with heat settings",1099,Electronics
Wild Stone Perfume,"Long-lasting men’s fragrance",399,Personal Care
Ashirvaad Atta,"Whole wheat flour with consistent grind",210,Food
Usha Ceiling Fan,"Energy-saving fan with high-speed motor",1499,Home Essentials
Canon Printer,"Ink-efficient printer for home/office use",3699,Electronics
Domex Disinfectant,"Bathroom cleaner that kills 99.9% germs",99,Cleaning
Notebook - Classmate,"200 pages ruled notebook",45,Stationery
Kurti Set,"Cotton printed kurti with leggings",1299,Fashion
Puma Backpack,"Durable and stylish backpack for daily use",1599,Fashion
The Alchemist,"Novel by Paulo Coelho",299,Books
To Kill a Mockingbird,"Classic novel by Harper Lee",349,Books
Oxford Dictionary,"Comprehensive English dictionary",499,Books
Lifebuoy Hand Sanitizer,"Instant germ protection hand sanitizer",55,Personal Care
Tupperware Water Bottle,"Leak-proof plastic bottle for daily use",199,Home Essentials
Himalaya Face Wash,"Neem face wash for clear skin",120,Personal Care
Pampers Diapers,"Extra absorbent baby diapers (pack of 20)",399,Personal Care
Bournvita,"Health drink mix with vitamins and minerals",210,Food
Apple MacBook Air,"M2 chip, lightweight laptop with Retina display",104999,Electronics
Milton Lunch Box,"Stainless steel tiffin with insulation",549,Home Essentials
Samsung Galaxy Watch,"Smartwatch with fitness and sleep tracking",13999,Electronics
Fogg Body Spray,"Long-lasting fragrance for men",195,Personal Care
Vaseline Lip Balm,"Moisturizing lip balm for dry lips",45,Personal Care
Nestlé Milkmaid,"Sweetened condensed milk for desserts",129,Food
Prestige Pressure Cooker,"Aluminum 5L cooker for fast cooking",2099,Kitchen
Boroline Antiseptic Cream,"Night repair cream with healing properties",40,Personal Care
Mother Dairy Toned Milk,"Pasteurized toned milk (1L pack)",60,Food
Whisper Ultra Pads,"Sanitary pads with dry cover",120,Personal Care
Bajaj Room Heater,"Compact electric room heater for winters",1499,Electronics
Gillette Razor,"Men’s shaving razor with triple blade",99,Personal Care
Tata Salt,"Iodized salt for daily cooking",28,Food
Dettol Antiseptic Liquid,"Multipurpose disinfectant for wounds and cleaning",89,Cleaning
Patanjali Honey,"Natural honey with health benefits",135,Food
Eveready LED Bulb,"9W LED bulb with high brightness",85,Home Essentials
Cello Gel Pens,"Pack of 5 smooth-writing gel pens",55,Stationery
Havells Extension Board,"4-socket power strip with surge protector",699,Electronics
Zara Women’s Perfume,"Elegant fragrance with floral tones",1799,Fashion
Adidas Sports T-shirt,"Breathable, quick-dry fabric for gym",1299,Fashion
Prestige Mixer Grinder,"500W mixer with 3 jars for kitchen use",2899,Kitchen
Nilkamal Plastic Chair,"Durable lightweight plastic chair",999,Home Essentials
Amazon Echo Dot,"Voice assistant smart speaker",4499,Electronics
Horlicks,"Health drink for kids and adults",195,Food
Ajanta Wall Clock,"Round silent wall clock with white dial",499,Home Essentials
Lakme Kajal,"Smudge-proof eye kajal for women",75,Personal Care
Nescafe Classic,"Instant coffee powder, 100g jar",180,Food
Philips Trimmer,"Beard trimmer with 45 mins runtime",1499,Electronics
Whirlpool Washing Machine,"7kg top load fully automatic",18499,Electronics
Kinder Joy,"Chocolate treat with surprise toy",40,Food
Dabur Chyawanprash,"Ayurvedic immunity booster, 500g",349,Health
Syska LED Strip,"Decorative RGB LED light strip",599,Electronics
Usha Sewing Machine,"Automatic zigzag sewing machine",6799,Electronics
Samsung SSD 1TB,"Portable solid state drive",6999,Electronics
OnePlus Nord CE 3,"5G smartphone with Snapdragon processor",22999,Electronics
Britannia Cake,"Vanilla flavored mini cake pack",20,Food
Fevicol Adhesive,"Strong glue for household repairs",30,Stationery
D-Link WiFi Router,"Wireless dual-band home router",1599,Electronics
Amazon Basics Bedsheet,"Cotton bedsheet with 2 pillow covers",799,Home Essentials
Kissan Tomato Ketchup,"Tasty and thick ketchup bottle",110,Food
Colin Glass Cleaner,"Sparkling clean glass surfaces spray",95,Cleaning
Prestige Gas Stove,"2-burner glass-top LPG stove",2890,Kitchen
Garnier Shampoo,"Anti-dandruff shampoo with lemon",135,Personal Care
Set Wet Gel,"Men’s hair styling wet look gel",90,Personal Care
Apple iPad 10th Gen,"Wi-Fi tablet with 64GB storage",39999,Electronics
Zebronics Bluetooth Speaker,"Mini wireless speaker with FM",699,Electronics
Shinchan T-Shirt,"Printed cartoon tee for kids",499,Fashion
BoAt Rockerz 255 Pro,"Wireless earphones with deep bass",999,Electronics
Google Pixel 8,"Android phone with Tensor G3 chip",69999,Electronics
Samsung Microwave Oven,"23L convection microwave",9499,Kitchen
MamyPoko Pants,"Extra absorb diapers, pack of 46",729,Baby Care
Dabur Red Toothpaste,"Ayurvedic paste for strong gums",85,Personal Care
Kwality Ice Cream,"Vanilla tub, 1L",165,Food
Bajaj Mixer Grinder,"750W 3-jar kitchen appliance",2990,Kitchen
Sleepy Owl Cold Brew,"Ready-to-drink coffee bottle",120,Food
Jockey Men’s Brief,"Cotton underwear pack of 2",329,Fashion
Allen Solly Shirt,"Slim-fit casual shirt for men",1899,Fashion
Lenovo Mouse,"USB wired optical mouse",399,Electronics
Tupperware Container Set,"Microwave-safe food storage boxes",999,Kitchen
Borosil Glass Jug,"Heat-resistant water jug",249,Kitchen
Ustraa Beard Oil,"Beard grooming oil with essential oils",199,Personal Care
Pepsodent Toothbrush,"Soft bristle toothbrush pack",40,Personal Care
Hit Mosquito Spray,"Instant kill insect repellent",99,Cleaning
Odonil Air Freshener,"Room freshener block lavender",55,Cleaning
Pepe Jeans Denim,"Blue stretchable jeans for women",2299,Fashion
Wildcraft Backpack,"Water-resistant laptop backpack",1899,Fashion
Head & Shoulders Shampoo,"Anti-hairfall shampoo",145,Personal Care
Vicco Turmeric Cream,"Ayurvedic skin cream with sandalwood",60,Personal Care
Cadbury Dairy Milk,"Milk chocolate bar 50g",45,Food
Everest Garam Masala,"Blended spice mix for curries",68,Food
Haldiram Rasgulla Tin,"Soft & spongy sweet dessert",145,Food
Usha Steam Iron,"1200W non-stick base steam iron",1149,Home Essentials
Crompton Ceiling Fan,"Silent fan with remote control",2799,Home Essentials
Bajaj Electric Kettle,"Stainless steel electric water boiler",1150,Kitchen
L'Oreal Hair Color,"Ammonia-free permanent hair color",499,Personal Care
Samsung Power Bank,"10000mAh fast charging power bank",1799,Electronics
Milky Mist Paneer,"Fresh cottage cheese 200g",82,Food
V-Guard Stabilizer,"Voltage regulator for TVs and fridges",1940,Electronics
Fair & Lovely Cream,"Fairness cream with multivitamins",95,Personal Care
Reynolds Ball Pen,"Smooth ink pen pack of 5",25,Stationery
Pigeon Kitchen Lighter,"Gas stove spark lighter",65,Kitchen
Sunfeast Dark Fantasy,"Choco-filled soft rolls",25,Food
Aquafina Water Bottle,"Packaged drinking water 1L",20,Food
Godrej Godrej Locks,"Heavy-duty door lock with keys",799,Home Essentials
Beardo Beard Wash,"Daily beard cleanser with cool mint",225,Personal Care
Pigeon Gas Stove,"3-burner manual ignition gas stove",3850,Kitchen
Sony PS5 Controller,"Wireless DualSense gamepad",5699,Electronics
iBall Keyboard,"USB wired keyboard for PC",499,Electronics
Maybelline Lipstick,"Matte long-stay lipstick",499,Fashion
Santoor Soap,"Sandal and turmeric beauty soap",35,Personal Care
Catch Black Pepper,"Whole black pepper spice jar",92,Food
Samsung QLED TV,"50-inch 4K Ultra HD Smart QLED TV",58990,Electronics
iQOO Neo 9 Pro,"Snapdragon 8 Gen 2 flagship smartphone",35999,Electronics
Tupperware Fridge Bottle,"Set of 4 colorful fridge bottles",499,Home Essentials
Apple AirPods Pro,"Wireless earbuds with active noise cancellation",24499,Electronics
Fastrack Sunglasses,"Polarized men's driving sunglasses",1599,Fashion
Usha Induction Cooktop,"2000W touch panel induction cooker",2949,Kitchen
Classmate Geometry Box,"Complete exam set with compass, scale",78,Stationery
Colgate Kids Toothbrush,"Soft toothbrush for kids",30,Personal Care
Kellogg's Muesli,"Fruit and nut multigrain muesli",465,Food
Mamaearth Onion Oil,"Hair fall control oil with natural ingredients",349,Personal Care
Godrej Air Freshener Spray,"Room spray with citrus burst",125,Cleaning
Tide Liquid Detergent,"Liquid detergent for washing machines",210,Cleaning
Zandu Balm,"Pain relief balm for headaches and cold",40,Health
Tupperware Mixing Bowl,"Non-slip bottom mixing bowl set",699,Kitchen
Apple Magic Mouse,"Rechargeable multi-touch mouse",7499,Electronics
Lenskart Blue Cut Glasses,"Anti-glare zero power glasses",999,Fashion
Ajinomoto MSG,"Taste enhancer for Asian cooking",65,Food
Philips Beard Trimmer,"USB-charging beard styling trimmer",1199,Electronics
Kohinoor Basmati Rice,"Premium long-grain rice, 1kg",210,Food
Apsara Erasers,"Non-dust eraser pack",20,Stationery
Superman Action Figure,"10-inch kids collectible figure",649,Toys
Nivea Men Face Wash,"Deep clean face cleanser",149,Personal Care
Kwality Frozen Peas,"Fresh frozen green peas 500g",85,Food
Zebronics Cabinet Fan,"Cooling fan for PC cabinets",250,Electronics
HP USB Flash Drive,"32GB pen drive",449,Electronics
Symphony Air Cooler,"Room cooler with honeycomb pads",4999,Home Essentials
Butterfly Pressure Cooker,"3L aluminum cooker with safety valve",1350,Kitchen
Hamleys Teddy Bear,"Stuffed plush toy for kids",1199,Toys
Pampers Wipes,"Baby wet wipes with aloe vera",249,Baby Care
Saffola Gold Oil,"Blended rice bran and sunflower oil",180,Food
Philips LED Batten,"20W bright LED tube light",295,Home Essentials
Nestle Everyday Dairy Whitener,"Milk powder for tea and coffee",285,Food
Fiama Shower Gel,"Refreshing body wash with beads",205,Personal Care
Apple Pencil,"2nd Gen stylus for iPads",10499,Electronics
Steel Lunch Box,"Leak-proof 2-tier tiffin box",799,Kitchen
Kamasutra Deodorant,"Men's body spray with strong scent",199,Personal Care
Horlicks Women Plus,"Nutritional drink for women",305,Health
Samsung Galaxy Tab S9,"High-end Android tablet",72999,Electronics
Colorbar Nail Polish,"Glossy quick-dry nail color",149,Fashion
Everest Chicken Masala,"Spice mix for chicken curry",68,Food
CeraVe Moisturizing Lotion,"Hydrating lotion with ceramides",1299,Personal Care
Wipro Smart Bulb,"16M color Alexa/Google assistant support",899,Electronics
Wild Stone Talc,"Cooling talcum powder for men",70,Personal Care
Philips Night Bulb,"Low-watt warm night bulb",49,Home Essentials
Boat Watch Storm,"Fitness smartwatch with SPO2 tracking",1799,Electronics
Top Ramen Noodles,"Instant ramen with spicy flavor",18,Food
Dettol Surface Cleaner,"Multi-surface disinfectant",215,Cleaning
Xiaomi Power Bank,"20000mAh high capacity fast charging",1899,Electronics
Amazon Basics USB Cable,"1m Type-C to USB-A cable",199,Electronics
Boroplus Antiseptic Cream,"Skin cream for cuts and dryness",38,Personal Care
Haldiram Soan Papdi,"Flaky traditional Indian sweet",70,Food
Tupperware Rice Dispenser,"Stackable rice container",1450,Kitchen
Cornitos Nachos,"Jalapeno flavored corn chips",35,Food
Zara Men's Hoodie,"Casual cotton hoodie with zipper",2199,Fashion
Samsung Soundbar,"Dolby audio 2.1 channel system",8999,Electronics
Campus Flip-Flops,"Lightweight rubber slippers",399,Fashion
Allen Solly Women's Blazer,"Office wear formal jacket",3699,Fashion
Borosil Lunch Box,"Microwave-safe glass containers",1249,Kitchen
Lifelong Treadmill,"Motorized folding treadmill for home",17999,Fitness
Tata Tea Premium,"Indian blend loose tea leaves",180,Food
Real Fruit Power Apple,"Apple juice with no added preservatives",105,Food
Anker USB Hub,"4-port USB 3.0 data hub",999,Electronics
Babyhug Cradle,"Portable foldable baby cradle",2499,Baby Care
Peppa Pig Puzzle Set,"Kids floor puzzle game",499,Toys
Paragon Sandals,"Durable synthetic sandals",449,Fashion
Raymond Suit Fabric,"Unstitched formal suit piece",1890,Fashion
Fire-Boltt Ninja Watch,"Touchscreen smartwatch with call feature",1699,Electronics
Lotus Herbal Sunscreen,"SPF 50 sunblock cream",310,Personal Care
Oxford Math Book,"CBSE aligned textbook for class 10",325,Books
Milton Thermosteel Flask,"Hot & cold stainless steel bottle",849,Home Essentials
Good Knight Mosquito Coil,"Lemon fragrance mosquito repellent",25,Cleaning
Pigeon Frying Pan,"Non-stick induction base fry pan",599,Kitchen
Patanjali Aloe Vera Gel,"Soothing gel for skin and hair",85,Personal Care
Hush Puppies Loafers,"Genuine leather casual shoes",3499,Fashion
Samsung Galaxy Buds 2,"Wireless earbuds with ANC",7499,Electronics
Magic Slate Board,"Reusable writing slate for kids",159,Toys
Kraft Cheese Slices,"Processed cheese pack of 10",130,Food
Symphony Tower Fan,"Portable vertical air fan",3199,Home Essentials
Ajanta Wall Clock,"Classic round wall decor clock",425,Home Essentials
Royal Stag Whisky,"Indian whisky bottle 750ml",950,Beverages
Bisleri Soda,"Packaged carbonated water 750ml",20,Beverages
Coca-Cola Can,"Chilled fizzy cola drink in a 330ml can",40,Beverages
Pepsi Bottle,"Refreshing carbonated soft drink (750ml)",45,Beverages
Sprite,"Lemon-lime flavored soda drink",42,Beverages
Frooti Mango Drink,"Sweet mango-flavored juice (200ml)",20,Beverages
Red Bull,"Energy drink with taurine and caffeine",110,Beverages
Monster Energy,"High-caffeine carbonated energy drink",125,Beverages
Maaza,"Mango pulp-based fruit drink (1L)",65,Beverages
Appy Fizz,"Sparkling apple juice drink",55,Beverages
Slice Mango Drink,"Thick mango juice with real pulp",35,Beverages
Paper Boat Aam Panna,"Traditional raw mango summer drink",30,Beverages
Paper Boat Jaljeera,"Tangy spiced Indian cumin drink",30,Beverages
Tropicana Orange Juice,"100% pure orange juice (1L)",120,Beverages
Tropicana Mixed Fruit,"Blend of tropical fruits in a juice",115,Beverages
Real Pomegranate Juice,"Rich antioxidant fruit juice (1L)",135,Beverages
Real Litchi Juice,"Delicious litchi-flavored fruit juice",110,Beverages
Bournvita Milk Shake,"Ready-to-drink chocolate malt beverage",35,Beverages
Horlicks Classic Malt,"Health drink for all age groups",215,Beverages
Boost,"Energy and stamina nutrition drink",220,Beverages
Bru Instant Coffee,"Granulated coffee powder (100g)",130,Beverages
Nescafe Sunrise,"Chicory blended instant coffee",135,Beverages
Tata Tea Gold,"Rich and flavorful Indian tea blend",170,Beverages
Lipton Green Tea Bags,"Detox green tea with antioxidants",180,Beverages
Bru Gold Coffee,"Premium 100% pure coffee granules",275,Beverages
Starbucks Cold Brew,"Ready-to-drink black cold coffee (200ml)",130,Beverages
Amul Kool Badam,"Flavored milk with almond essence",25,Beverages
Mother Dairy Lassi,"Traditional sweetened curd drink",25,Beverages
Yakult Probiotic Drink,"Daily probiotic drink for digestion",70,Beverages
Bisleri Club Soda,"Packaged soda water (750ml)",20,Beverages
Real Coconut Water,"Natural coconut water with electrolytes",85,Beverages
Bailley Packaged Water,"Mineral drinking water (1L)",18,Beverages
OnePlus Monitor,"Full HD 24-inch desktop monitor",10999,Electronics
Apple Watch Series 9,"Smartwatch with fitness tracking",41999,Electronics
Puma Duffel Bag,"Sports gym travel bag",1449,Fashion
McCain Aloo Tikki,"Frozen potato snack",115,Food
Duracell Batteries,"AA size alkaline batteries pack of 4",135,Electronics
Brook Bond Red Label,"Strong tea with natural ingredients",155,Food
Bigen Hair Color,"Powder hair dye without ammonia",50,Personal Care
Sleepwell Pillow,"Soft microfiber bed pillow",699,Home Essentials
Anchor Switchboard,"6-amp modular switch panel",195,Electronics
Kent Water Purifier,"RO+UV+UF water purifier system",14999,Home Essentials
Tupperware Spice Box,"Modular masala box with 7 sections",850,Kitchen
Funskool Monopoly,"Board game for family and kids",799,Toys
Wings Phantom Earbuds,"Gaming wireless earbuds with low latency",1299,Electronics
Sennheiser Headphones,"Wired over-ear studio headphones",2599,Electronics
Tata Sampann Chana Dal,"Unpolished Bengal gram 1kg",112,Food
Classic Sketch Pens,"12-color washable sketch pens",70,Stationery
Ambrane Charger,"18W USB charger with cable",599,Electronics
Asian School Bag,"Durable school bag with 3 compartments",949,Fashion
Royal Canin Dog Food,"Dry food for adult dogs 1kg",599,Food
Whiskas Cat Food,"Ocean fish flavor for adult cats",225,Food
Safari Trolley Bag,"Cabin-size hard shell luggage",3299,Fashion
Cinthol Soap,"Deodorant soap for active freshness",38,Personal Care
Himalaya Baby Lotion,"Gentle body lotion for babies",140,Baby Care
Anchor Extension Cord,"4 plug points with safety fuse",749,Electronics
Dettol Soap,"Anti-bacterial bathing soap",32,Personal Care
Fortune Soya Oil,"Refined soybean oil 1L pouch",130,Food
Red Bull,"Energy Drink 1 Serve",120,Beverage
Red Bull,"Energy Drink 2 Serve @400/-",800,Beverage
Sting,"Energy Drink 1 serve",20,Beverage